Trip_Distance,Type_of_Cab,Customer_Since_Months,Life_Style_Index,Confidence_Life_Style_Index,Destination_Type,Customer_Rating,Cancellation_Last_1Month,Var1,Var2,Var3,Gender,__FeatEng_target__,__index_level_0__
101.13,D,6.0,3.03777,B,B,2.9625,1,35.0,54,76,Male,3,0
33.71,B,10.0,2.56845,B,A,1.815,0,,54,76,Male,2,1
86.54,A,10.0,2.99811,B,C,1.1975,1,,48,69,Male,1,2
40.99,B,2.0,2.81524,A,A,3.11875,1,42.0,56,73,Female,2,4
75.61,E,2.0,2.92783,B,A,1.13625,0,38.0,58,95,Male,3,6
51.83,E,3.0,2.6507,C,B,2.14375,0,90.0,49,61,Male,3,7
92.46,D,10.0,2.78321,B,A,1.4075,0,,49,66,Male,3,8
36.24,A,10.0,2.68395,A,B,1.4325,1,66.0,46,67,Female,1,10
62.9,,1.0,3.04109,C,A,3.0425,0,,58,113,Male,2,13
17.95,B,1.0,2.92901,C,B,2.2775,1,,48,61,Female,1,14
30.58,B,8.0,2.70208,B,B,1.9275,0,,46,79,Female,2,17
20.16,A,,2.41189,B,A,0.91875,1,97.0,52,79,Female,2,18
30.97,D,2.0,,,A,3.96875,1,,46,62,Male,3,19
21.75,C,10.0,2.81767,A,A,3.9525,1,81.0,48,72,Male,3,21
23.57,D,2.0,2.42451,A,A,2.96375,1,37.0,47,61,Male,3,25
108.08,,1.0,2.957,B,A,2.95375,0,,49,68,Female,3,26
47.46,B,2.0,2.95403,C,B,3.20875,0,74.0,55,84,Male,2,27
45.98,B,6.0,2.99927,A,A,3.94875,0,110.0,48,76,Female,2,28
31.54,C,5.0,2.84551,C,A,3.13375,1,47.0,50,90,Female,2,29
86.59,A,10.0,2.98116,C,A,0.725,1,,52,88,Female,3,30
63.84,B,10.0,2.77535,C,A,3.11,0,60.0,46,72,Female,2,32
37.06,A,10.0,2.92229,A,A,3.05125,0,,54,73,Female,2,33
38.37,C,3.0,2.5544,A,A,2.075,0,,52,67,Male,2,39
90.99,A,6.0,,,C,3.25375,0,,55,78,Male,1,41
62.48,B,5.0,2.84918,C,B,0.6375,0,75.0,51,82,Male,2,42
32.93,C,8.0,,,A,2.7,0,,47,63,Female,3,43
31.91,B,10.0,2.79903,C,B,3.055,0,,60,105,Female,2,44
30.18,A,10.0,2.7277,A,B,1.46125,2,,61,82,Male,1,47
36.06,B,10.0,2.69111,C,A,2.6175,0,,48,68,Male,1,48
24.01,,10.0,2.87118,A,A,2.73375,1,88.0,53,74,Male,2,49
77.98,A,10.0,3.09022,B,B,2.18375,1,,54,84,Male,1,50
41.8,B,0.0,3.08148,A,D,4.38875,1,70.0,61,102,Female,2,51
78.86,,10.0,2.86552,B,A,1.5925,0,,55,80,Male,3,53
41.91,B,10.0,2.73899,A,A,1.98125,0,,50,75,Male,2,55
46.98,C,10.0,2.66482,B,A,2.2775,1,,53,76,Female,3,56
62.69,,10.0,3.48186,C,C,3.56125,0,68.0,54,82,Female,1,58
54.86,B,10.0,2.87545,C,B,3.2525,0,,51,69,Male,2,64
13.86,,6.0,2.39841,B,B,4.0825,1,,46,64,Female,2,65
24.58,B,7.0,2.61752,A,B,2.68875,0,,46,74,Male,1,67
45.9,D,8.0,2.84024,A,A,2.8125,1,47.0,45,69,Female,3,68
47.27,A,4.0,2.84699,A,C,2.2825,1,,54,71,Male,2,71
90.82,B,6.0,2.89681,B,A,2.33625,0,,52,77,Female,2,73
3.46,E,10.0,2.45688,A,D,3.17875,1,,48,63,Male,3,74
13.95,D,8.0,,,G,3.9625,0,61.0,47,71,Male,1,76
44.71,E,6.0,2.93134,A,A,3.34,0,,48,70,Female,1,78
60.43,,2.0,3.08397,C,A,3.13625,1,,55,87,Male,1,79
34.46,D,0.0,,,A,3.57125,1,,49,71,Male,3,81
24.57,C,1.0,2.76116,C,A,3.48125,2,54.0,45,67,Male,2,83
